Episode 1 Step 45: Training Loss nan, Return 10.0
Episode 2 Step 14: Training Loss nan, Return 10.0
Episode 3 Step 14: Training Loss nan, Return 10.0
Episode 4 Step 12: Training Loss nan, Return 10.0
Episode 5 Step 13: Training Loss nan, Return 10.0
Episode 6 Step 12: Training Loss nan, Return 10.0
Episode 7 Step 20: Training Loss nan, Return 8.0
Episode 8 Step 25: Training Loss nan, Return 8.0
Episode 9 Step 22: Training Loss nan, Return 9.0
Episode 10 Step 24: Training Loss nan, Return 10.0
Episode 11 Step 14: Training Loss nan, Return 9.0
Episode 12 Step 12: Training Loss nan, Return 9.0
Episode 13 Step 20: Training Loss nan, Return 8.0
D:\assignment4\DQN-CartPole-Cartpole\main.py:74: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  loss = torch.mean(torch.tensor(losses))
Episode 173 Step 11: Training Loss 0.04390938580036163, Return 15.0
Episode 174 Step 12: Training Loss 0.044741641730070114, Return 13.0
Episode 175 Step 15: Training Loss 0.043666549026966095, Return 8.0
Episode 176 Step 9: Training Loss 0.04230097681283951, Return 11.0
Episode 177 Step 16: Training Loss 0.040836334228515625, Return 10.0
Episode 178 Step 9: Training Loss 0.04051748663187027, Return 13.0
Episode 179 Step 16: Training Loss 0.04252038523554802, Return 15.0
Episode 180 Step 10: Training Loss 0.04217018187046051, Return 15.0
Episode 181 Step 10: Training Loss 0.045281391590833664, Return 12.0
Episode 182 Step 14: Training Loss 0.04439423605799675, Return 13.0
Episode 183 Step 21: Training Loss 0.03915557265281677, Return 13.0
Episode 184 Step 14: Training Loss 0.044111113995313644, Return 13.0
Episode 185 Step 11: Training Loss 0.04499397054314613, Return 11.0
Episode 186 Step 8: Training Loss 0.03944483399391174, Return 9.0
Episode 187 Step 10: Training Loss 0.04724370315670967, Return 14.0
Episode 188 Step 13: Training Loss 0.03890890255570412, Return 14.0
Episode 189 Step 11: Training Loss 0.04577961191534996, Return 17.0
Episode 190 Step 12: Training Loss 0.03884913772344589, Return 13.0
Episode 191 Step 10: Training Loss 0.04027554392814636, Return 14.0
Episode 192 Step 15: Training Loss 0.0443633608520031, Return 12.0
Episode 193 Step 15: Training Loss 0.04562508687376976, Return 12.0
Episode 194 Step 11: Training Loss 0.04164493829011917, Return 14.0
Episode 195 Step 16: Training Loss 0.04445240646600723, Return 10.0
Episode 196 Step 16: Training Loss 0.04957391321659088, Return 16.0
Episode 197 Step 16: Training Loss 0.045997004956007004, Return 15.0
Episode 198 Step 13: Training Loss 0.04706904664635658, Return 15.0
Episode 199 Step 18: Training Loss 0.04616390913724899, Return 16.0
Episode 200 Step 18: Training Loss 0.045961931347846985, Return 14.0
Episode 201 Step 13: Training Loss 0.04236382246017456, Return 14.0
Episode 202 Step 15: Training Loss 0.043311793357133865, Return 17.0
Episode 203 Step 14: Training Loss 0.04380363970994949, Return 10.0
Episode 204 Step 13: Training Loss 0.05081699416041374, Return 14.0
Episode 205 Step 16: Training Loss 0.04529086872935295, Return 14.0
Episode 206 Step 10: Training Loss 0.045787133276462555, Return 15.0
Episode 207 Step 14: Training Loss 0.04666167497634888, Return 17.0
Episode 208 Step 15: Training Loss 0.05198989063501358, Return 10.0
Episode 209 Step 10: Training Loss 0.05098283290863037, Return 15.0
Episode 210 Step 19: Training Loss 0.044711872935295105, Return 16.0
Episode 211 Step 15: Training Loss 0.05004540830850601, Return 16.0
Episode 212 Step 11: Training Loss 0.05262800306081772, Return 19.0
Episode 213 Step 13: Training Loss 0.04919188469648361, Return 8.0
Episode 214 Step 16: Training Loss 0.04769894853234291, Return 9.0
Episode 215 Step 11: Training Loss 0.055046502500772476, Return 16.0
Episode 216 Step 30: Training Loss 0.051405251026153564, Return 20.0
Episode 217 Step 10: Training Loss 0.053415458649396896, Return 10.0
Episode 218 Step 14: Training Loss 0.04730408638715744, Return 32.0
Episode 219 Step 31: Training Loss 0.05097952112555504, Return 8.0
Episode 220 Step 10: Training Loss 0.05120742321014404, Return 20.0
Episode 221 Step 32: Training Loss 0.05083564296364784, Return 37.0
Episode 222 Step 32: Training Loss 0.04781828075647354, Return 26.0
Episode 223 Step 16: Training Loss 0.047551099210977554, Return 11.0
Episode 224 Step 10: Training Loss 0.04380851238965988, Return 10.0
Episode 225 Step 25: Training Loss 0.051152512431144714, Return 28.0
Episode 226 Step 23: Training Loss 0.048447832465171814, Return 10.0
Episode 227 Step 10: Training Loss 0.046548761427402496, Return 11.0
Episode 228 Step 29: Training Loss 0.049818284809589386, Return 29.0
Episode 229 Step 24: Training Loss 0.051327209919691086, Return 10.0
Episode 230 Step 10: Training Loss 0.05211053043603897, Return 10.0
Episode 231 Step 9: Training Loss 0.043010324239730835, Return 21.0
Episode 232 Step 10: Training Loss 0.05061780661344528, Return 26.0
Episode 233 Step 19: Training Loss 0.045862626284360886, Return 11.0
Episode 234 Step 9: Training Loss 0.045803144574165344, Return 23.0
Episode 235 Step 25: Training Loss 0.05295981466770172, Return 10.0
Episode 236 Step 13: Training Loss 0.047735653817653656, Return 11.0
Episode 237 Step 12: Training Loss 0.058915119618177414, Return 10.0
Episode 238 Step 12: Training Loss 0.051342930644750595, Return 10.0
Episode 239 Step 10: Training Loss 0.046634476631879807, Return 11.0
Episode 240 Step 14: Training Loss 0.04776430502533913, Return 12.0
Episode 241 Step 12: Training Loss 0.052404601126909256, Return 12.0
Episode 242 Step 10: Training Loss 0.04631664603948593, Return 10.0
Episode 243 Step 10: Training Loss 0.054433949291706085, Return 25.0
Episode 244 Step 12: Training Loss 0.05255866423249245, Return 12.0
Episode 245 Step 9: Training Loss 0.04653538763523102, Return 14.0
Episode 246 Step 30: Training Loss 0.04937893897294998, Return 13.0
Episode 247 Step 11: Training Loss 0.057787276804447174, Return 11.0
Episode 248 Step 12: Training Loss 0.05664674565196037, Return 10.0
Episode 249 Step 28: Training Loss 0.051573969423770905, Return 11.0
Episode 250 Step 14: Training Loss 0.052214886993169785, Return 26.0
Episode 251 Step 14: Training Loss 0.05441388115286827, Return 27.0
Episode 252 Step 15: Training Loss 0.05178029090166092, Return 12.0
Episode 253 Step 27: Training Loss 0.05453446879982948, Return 11.0
Episode 254 Step 9: Training Loss 0.055494677275419235, Return 11.0
Episode 255 Step 11: Training Loss 0.0540618896484375, Return 10.0
Episode 256 Step 13: Training Loss 0.05992501601576805, Return 24.0
Episode 257 Step 12: Training Loss 0.052311331033706665, Return 28.0
Episode 258 Step 28: Training Loss 0.05409957095980644, Return 12.0
Episode 259 Step 14: Training Loss 0.053950369358062744, Return 12.0
Episode 260 Step 29: Training Loss 0.05322336032986641, Return 30.0
Episode 261 Step 13: Training Loss 0.05831203609704971, Return 13.0
Episode 262 Step 24: Training Loss 0.052965570241212845, Return 29.0
Episode 263 Step 12: Training Loss 0.05901719629764557, Return 12.0
Episode 264 Step 10: Training Loss 0.04895901679992676, Return 28.0
Episode 265 Step 62: Training Loss 0.05131223425269127, Return 85.0
Episode 266 Step 12: Training Loss 0.05359245836734772, Return 10.0
Episode 267 Step 29: Training Loss 0.054462138563394547, Return 147.0
Episode 268 Step 103: Training Loss 0.05587971210479736, Return 62.0
Episode 269 Step 32: Training Loss 0.05251874774694443, Return 78.0
Episode 270 Step 280: Training Loss 0.05157618969678879, Return 277.0
Episode 271 Step 110: Training Loss 0.05289939418435097, Return 132.0
Episode 272 Step 162: Training Loss 0.053634025156497955, Return 123.0
Episode 273 Step 79: Training Loss 0.05089665576815605, Return 157.0
Episode 274 Step 159: Training Loss 0.052304740995168686, Return 117.0
Episode 275 Step 119: Training Loss 0.05305103585124016, Return 93.0
Episode 276 Step 106: Training Loss 0.0542004257440567, Return 110.0
Episode 277 Step 204: Training Loss 0.04812895506620407, Return 135.0
Episode 278 Step 105: Training Loss 0.048556335270404816, Return 217.0
Episode 279 Step 138: Training Loss 0.05762467160820961, Return 233.0
Episode 280 Step 201: Training Loss 0.0522252582013607, Return 168.0
Episode 281 Step 111: Training Loss 0.05062281712889671, Return 136.0
Episode 282 Step 102: Training Loss 0.04924644157290459, Return 164.0
Episode 283 Step 112: Training Loss 0.05164426192641258, Return 160.0
Episode 284 Step 105: Training Loss 0.04905489832162857, Return 146.0
Episode 285 Step 145: Training Loss 0.05272846668958664, Return 157.0
Episode 286 Step 167: Training Loss 0.05698051676154137, Return 149.0
Episode 287 Step 143: Training Loss 0.054427459836006165, Return 123.0
Episode 288 Step 143: Training Loss 0.05074667930603027, Return 119.0
Episode 289 Step 182: Training Loss 0.0543355830013752, Return 270.0
Episode 290 Step 148: Training Loss 0.05412404611706734, Return 166.0
Episode 291 Step 171: Training Loss 0.055181749165058136, Return 132.0
Episode 292 Step 219: Training Loss 0.06061103567481041, Return 123.0
Episode 293 Step 224: Training Loss 0.05895955488085747, Return 236.0
Episode 294 Step 285: Training Loss 0.057862721383571625, Return 198.0
Episode 295 Step 250: Training Loss 0.0641285851597786, Return 250.0
