Episode 1 Step 13: Training Loss nan, Return 8.0
Episode 2 Step 42: Training Loss nan, Return 9.0
Episode 3 Step 19: Training Loss nan, Return 9.0
Episode 4 Step 18: Training Loss nan, Return 9.0
Episode 5 Step 13: Training Loss nan, Return 10.0
Episode 6 Step 28: Training Loss nan, Return 11.0
Episode 7 Step 22: Training Loss nan, Return 9.0
Episode 8 Step 24: Training Loss nan, Return 8.0
Episode 9 Step 15: Training Loss nan, Return 11.0
Episode 10 Step 39: Training Loss nan, Return 10.0
Episode 11 Step 18: Training Loss nan, Return 10.0
Episode 12 Step 30: Training Loss nan, Return 9.0
Episode 13 Step 22: Training Loss nan, Return 10.0
Episode 14 Step 12: Training Loss nan, Return 10.0
Episode 15 Step 13: Training Loss nan, Return 10.0
Episode 16 Step 16: Training Loss nan, Return 9.0
Episode 17 Step 21: Training Loss nan, Return 9.0
Episode 18 Step 17: Training Loss nan, Return 9.0
Episode 19 Step 13: Training Loss nan, Return 9.0
Episode 20 Step 13: Training Loss nan, Return 10.0
Episode 21 Step 51: Training Loss nan, Return 9.0
Episode 22 Step 16: Training Loss nan, Return 10.0
Episode 23 Step 26: Training Loss nan, Return 10.0
D:\assignment4\DQN-CartPole-Cartpole\main.py:77: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  loss = torch.mean(torch.tensor(losses))
Episode 214 Step 10: Training Loss 0.1225084513425827, Return 8.0
Episode 215 Step 8: Training Loss 0.13569623231887817, Return 11.0
Episode 216 Step 11: Training Loss 0.13271981477737427, Return 9.0
Episode 217 Step 9: Training Loss 0.1233123391866684, Return 11.0
Episode 218 Step 11: Training Loss 0.13119985163211823, Return 9.0
Episode 219 Step 13: Training Loss 0.12403471767902374, Return 9.0
Episode 220 Step 11: Training Loss 0.12969447672367096, Return 11.0
Episode 221 Step 10: Training Loss 0.12967722117900848, Return 11.0
Episode 222 Step 10: Training Loss 0.13475266098976135, Return 11.0
Episode 223 Step 17: Training Loss 0.13705718517303467, Return 10.0
Episode 224 Step 12: Training Loss 0.14689059555530548, Return 9.0
Episode 225 Step 17: Training Loss 0.13580133020877838, Return 11.0
Episode 226 Step 11: Training Loss 0.13006605207920074, Return 11.0
Episode 227 Step 15: Training Loss 0.13907597959041595, Return 10.0
Episode 228 Step 10: Training Loss 0.13678178191184998, Return 9.0
Episode 229 Step 14: Training Loss 0.1431162804365158, Return 10.0
Episode 230 Step 11: Training Loss 0.14402252435684204, Return 9.0
Episode 231 Step 11: Training Loss 0.13167168200016022, Return 10.0
Episode 232 Step 12: Training Loss 0.1383347511291504, Return 10.0
Episode 233 Step 10: Training Loss 0.14951224625110626, Return 8.0
Episode 234 Step 13: Training Loss 0.14848758280277252, Return 10.0
Episode 235 Step 14: Training Loss 0.14035914838314056, Return 11.0
Episode 236 Step 9: Training Loss 0.1421661078929901, Return 9.0
Episode 237 Step 12: Training Loss 0.1446247696876526, Return 11.0
Episode 238 Step 9: Training Loss 0.140681654214859, Return 11.0
Episode 239 Step 11: Training Loss 0.14206501841545105, Return 10.0
Episode 240 Step 12: Training Loss 0.14671313762664795, Return 11.0
Episode 241 Step 10: Training Loss 0.15535995364189148, Return 11.0
Episode 242 Step 12: Training Loss 0.1543039083480835, Return 9.0
Episode 243 Step 10: Training Loss 0.15362510085105896, Return 10.0
Episode 244 Step 13: Training Loss 0.15207992494106293, Return 11.0
Episode 245 Step 14: Training Loss 0.1522444635629654, Return 9.0
Episode 246 Step 10: Training Loss 0.14173004031181335, Return 10.0
Episode 247 Step 12: Training Loss 0.15165095031261444, Return 10.0
Episode 248 Step 17: Training Loss 0.1515638828277588, Return 10.0
Episode 249 Step 9: Training Loss 0.1540427803993225, Return 8.0
Episode 250 Step 13: Training Loss 0.16309107840061188, Return 11.0
Episode 251 Step 11: Training Loss 0.15607021749019623, Return 8.0
Episode 252 Step 10: Training Loss 0.15436933934688568, Return 10.0
Episode 253 Step 8: Training Loss 0.14492353796958923, Return 11.0
Episode 254 Step 9: Training Loss 0.1576460301876068, Return 10.0
Episode 255 Step 12: Training Loss 0.16064848005771637, Return 9.0
Episode 256 Step 14: Training Loss 0.15027271211147308, Return 9.0
Episode 257 Step 13: Training Loss 0.14798998832702637, Return 11.0
Episode 258 Step 13: Training Loss 0.1585165560245514, Return 11.0
Episode 259 Step 19: Training Loss 0.15965677797794342, Return 11.0
Episode 260 Step 13: Training Loss 0.15866035223007202, Return 10.0
Episode 261 Step 12: Training Loss 0.15323413908481598, Return 9.0
Episode 262 Step 13: Training Loss 0.16642862558364868, Return 10.0
Episode 263 Step 11: Training Loss 0.15823976695537567, Return 10.0
Episode 264 Step 18: Training Loss 0.16883724927902222, Return 10.0
Episode 265 Step 11: Training Loss 0.15295125544071198, Return 11.0
Episode 266 Step 10: Training Loss 0.15702328085899353, Return 12.0
Episode 267 Step 12: Training Loss 0.15885823965072632, Return 10.0
Episode 268 Step 9: Training Loss 0.1584155112504959, Return 9.0
Episode 269 Step 11: Training Loss 0.16297870874404907, Return 9.0
Episode 270 Step 12: Training Loss 0.17362450063228607, Return 11.0
Episode 271 Step 9: Training Loss 0.15509948134422302, Return 9.0
Episode 272 Step 12: Training Loss 0.15688954293727875, Return 12.0
Episode 273 Step 13: Training Loss 0.16393479704856873, Return 9.0
Episode 274 Step 11: Training Loss 0.15343552827835083, Return 9.0
Episode 275 Step 11: Training Loss 0.17162954807281494, Return 11.0
Episode 276 Step 11: Training Loss 0.17948521673679352, Return 12.0
Episode 277 Step 11: Training Loss 0.1882527768611908, Return 10.0
Episode 278 Step 9: Training Loss 0.16781215369701385, Return 12.0
Episode 279 Step 8: Training Loss 0.16561497747898102, Return 9.0
Episode 280 Step 11: Training Loss 0.17442718148231506, Return 11.0
Episode 281 Step 12: Training Loss 0.17928893864154816, Return 11.0
Episode 282 Step 13: Training Loss 0.1727803647518158, Return 11.0
Episode 283 Step 10: Training Loss 0.18017059564590454, Return 11.0
Episode 284 Step 14: Training Loss 0.17836371064186096, Return 10.0
Episode 285 Step 12: Training Loss 0.17701484262943268, Return 9.0
Episode 286 Step 13: Training Loss 0.16830970346927643, Return 12.0
Episode 287 Step 17: Training Loss 0.1750158667564392, Return 11.0
